AuthorID,Author_about
A100000000,William Shakespeare William Shakespeare (baptised 26 April 1564) was a
A100000001,Wu Cheng'en Wu Cheng'en (simplified Chinese: ; traditional Chi
A100000002,"Bartolomé de las Casas Bartolomé de las Casas, O.P. (November 1484 – 18 J"
A100000003,Nicolaus Copernicus Polish name: . Polish astronomer and mathematician
A100000004,Giorgio Vasari Giorgio Vasari was an Italian painter and architec
A100000005,"Martin Luther Martin Luther was a German monk, theologian, unive"
A100000006,Ludovico Ariosto Ludovico Ariosto was an Italian poet. He is best k
A100000007,"Anonymous Books can be attributed to ""Anonymous"" for several"
A100000008,"Christopher Marlowe Christopher ""Kit"" Marlowe (baptised 26 February 15"
A100000009,Edmund Spenser Edmund Spenser (c. 1552 – 13 January 1599) was an 
A100000010,"Erasmus Erasmus (28 October 1466 – 12 July 1536), known as"
A100000011,"Giordano Bruno Giordano Bruno (1548 – February 17, 1600), born Fi"
A100000012,"Juan de la Cruz Juan de la Cruz (English: ), born , was a major Co"
A100000013,Niccolò Machiavelli Niccolò di Bernardo dei Machiavelli was an Italian
A100000014,Cornelius Agrippa Cornelius Agrippa (most often referred to by the L
A100000015,"Jan Kochanowski Kochanowski was born at Sycyna, near Radom, Poland"
A100000016,"Tang Xianzu Tang Xianzu (Chinese: 湯顯祖; September 24, 1550 — Ju"
A100000017,"Pietro Aretino Pietro Aretino was an Italian author, playwright, "
A100000018,Francisco De Cuellar Francisco de Cuéllar was a Spanish sea captain who
A100000019,Vitsentzos Kornaros Vitsentzos Kornaros (Greek: ; a.k.a. Vikentios Kor
A100000020,John Lyly (c. 1553 or 1554 – November 1606) An English write
A100000021,Luís de Camões Luís Vaz de Camões (Portuguese pronunciation: [luˈ
A100000022,"Philip Sidney Sir Philip Sidney was an English poet, courtier an"
A100000023,Stephan Füssel 
A100000024,"Paracelsus Paracelsus, who published under the name  (""greate"
A100000025,Torquato Tasso Torquato Tasso (11 March 1544 – 25 April 1595) was
A100000026,"Moderata Fonte Moderata Fonte, pseudonym of Modesta Pozzo (1555-1"
A100000027,Thomas Kyd Thomas Kyd (baptised 6 November 1558; buried 15 Au
A100000028,"Unknown Books can be attributed to ""Unknown"" when the auth"
A100000029,Álvar Núñez Cabeza de Vaca Álvar Núñez Cabeza de Vaca was a Spanish explorer 
A100000030,"Gil Vicente Gil Vicente, called , was a Portuguese playwright "
A100000031,Baldassare Castiglione Count Baldassarre (of) Castiglione was an Italian 
A100000032,Zahirud-din Muhammad Babur Zahir ud-din Muhammad Babur more commonly known as
A100000033,"Teresa of Ávila Teresa of Ávila, also called , was a prominent Spa"
A100000034,"John Calvin John Calvin (10 July 1509 – 27 May 1564), né , re-"
A100000035,"Marguerite de Navarre Marguerite de Navarre, also known as Marguerite d'"
A100000036,"John Foxe John Foxe was born at Boston, in Lincolnshire, in "
A100000037,Benvenuto Cellini 
A100000038,"Francis Bacon Francis Bacon, 1st Viscount St Alban, QC, was an E"
A100000039,Michel de Montaigne Michel Eyquem de Montaigne was one of the most inf
A100000040,François Rabelais François Rabelais was a major French Renaissance w
A100000041,Thomas More Thomas More (/ˈmɔːr/; 7 February 1478 – 6 July 153
A100000042,"Molière Jean-Baptiste Poquelin, also known by his stage na"
A100000043,Pedro Calderón de la Barca Pedro Calderón de la Barca y Henao was a dramatist
A100000044,Charles Perrault Charles Perrault was a French author who laid foun
A100000045,Blaise Pascal French mathematician and philosopher Blaise Pascal
A100000046,"Jean Racine Jean Baptiste Racine was a French dramatist, one o"
A100000047,Jean de La Fontaine Jean de La Fontaine was the most famous French fab
A100000048,Joost van den Vondel 
A100000049,John Locke John Locke was an English philosopher. Locke is co
A100000050,"Madame de La Fayette Christened Marie-Madeleine Pioche de La Vergne, sh"
A100000051,Charles Sorel 
A100000052,"Lanling Xiaoxiao Sheng Lanling Xiaoxiao Sheng (Chinese: 蘭陵笑笑生) or ""The Sc"
A100000053,Thomas Hobbes Thomas Hobbes of Malmesbury (also Thomas Hobbes of
A100000054,"René Descartes René Descartes, also known as Renatus Cartesius (L"
A100000055,Ben Jonson Benjamin Jonson was an English Renaissance dramati
A100000056,Thomas Browne Browne's writings display a deep curiosity towards
A100000057,Thomas Middleton Thomas Middleton (1580 – 1627) was an English Jaco
A100000058,Lope de Vega Lope de Vega (also Félix Lope de Vega y Carpio or 
A100000059,Francis Beaumont Francis Beaumont (1584 – 6 March 1616) was a drama
A100000060,John  Ford John Ford (baptised 17 April 1586 – c. 1640?) was 
A100000061,Bernal Díaz del Castillo Bernal Díaz del Castillo (1492 – ca. 1580) was a c
A100000062,Pierre Corneille Pierre Corneille était l'un des trois grands drama
A100000063,Honoré d'Urfé 
A100000064,"Li Yu Li Yu (Chinese: 李漁; pinyin: Lǐ Yú, given name: 仙侣 "
A100000065,Agrippa d'Aubigné 
A100000066,Michiel de Swaen Michiel de Swaen was een heelmeester en een rederi
A100000067,Baruch Spinoza Baruch Spinoza was a Dutch philosopher. The breadt
A100000068,G.A. Bredero Gerbrand Adriaensz. BrederoPoet and playwright in 
A100000069,"John Bunyan John Bunyan, a Christian writer and preacher, was "
A100000070,John Dryden John Dryden (19 August [O.S. 9 August] 1631 – 12 M
A100000071,Sung Ying-hsing 
A100000072,"François Fénelon François Fénelon, more commonly known as François "
A100000073,Roger Williams Roger Williams (c. 1603 – between January and Marc
A100000074,"Elizabeth Cary Elizabeth Cary, Lady Falkland, nee Tanfield, was a"
A100000075,Samuel Pepys Samuel Pepys was an English naval administrator an
A100000076,Tommaso Campanella Tommaso Campanella OP (Italian: [tomˈmazo kampaˈnɛ
A100000077,"Margaret Cavendish Margaret Lucas Cavendish, Duchess of Newcastle, wa"
A100000078,Thomas Dekker Thomas Dekker (c. 1572 – 1632) was an Elizabethan 
A100000079,William Bradford William Bradford was an English leader of the sett
A100000080,Izaak Walton Izaak Walton (c. 1594[1] – 15 December 1683) was a
A100000081,"John Milton John Milton was an English poet, polemicist, man o"
A100000082,William Wycherley William Wycherley was an English dramatist of the 
A100000083,Francisco de Quevedo Francisco Gómez de Quevedo y Santibáñez Villegas w
A100000084,Aphra Behn Aphra Behn was a prolific dramatist of the English
A100000085,George Herbert George Herbert was a Welsh-born English poet and o
A100000086,Tirso de Molina Sus padres eran humildes sirvientes del Conde de M
A100000087,John Webster John Webster (c.1580 – c.1634) was an English Jaco
A100000088,Hans Jakob Christoffel von Grimmelshausen Grimmelshausen was born at Gelnhausen. At the age 
A100000089,"William Congreve ""William Congreve was an English playwright and po"
A100000090,"Galileo Galilei Galileo Galilei was a Tuscan (Italian) physicist, "
A100000091,Matsuo Bashō MATSUO Bashō (松尾 芭蕉) was the most famous poet of t
A100000092,Brother Lawrence Brother Lawrence was born Nicolas Herman in Hérimé
A100000093,François de La Rochefoucauld 
