PublisherID,Publisher
P700000000,Washington Square Press
P700000001,"Oxford University Press, USA"
P700000002,Grove Press
P700000003,Penguin Classics
P700000004,Running Press Book Publishers
P700000005,Bantam Classics
P700000006,NTC/Contemporary Publishing Company
P700000007,Oxford University Press
P700000008,Bloomsbury Arden Shakespeare
P700000009,P & R Publishing
P700000010,Mestas Ediciones
P700000011,Player Press Inc.
P700000012,Biblioteca Universale Rizzoli
P700000013,Image
P700000014,I C S Publications
P700000015,Echo Library
P700000016,University Of Chicago Press
P700000017,Farrar Straus Giroux
P700000018,Llewellyn Publications
P700000019,Indiana University Press
P700000020,Ibis Press
P700000021,Athenaeum—Polak & Van Gennep
P700000022,Clachan Publishing
P700000023,Αδάμ - Πέργαμος
P700000024,Reprint Services Corp
P700000025,Createspace
P700000026,Fortress Press
P700000027,AMS Press
P700000028,Fleming H. Revell Company
P700000029,University of Toronto Press
P700000030,Wildside Press
P700000031,Taschen
P700000032,BUR
P700000033,No Publisher
P700000034,Simon Schuster
P700000035,Dodo Press
P700000036,Taal en Teken
P700000037,Zia Book/University of New Mexico Press
P700000038,Cambridge University Press
P700000039,Da Capo Press
P700000040,L&PM
P700000041,Dover Publications
P700000042,University of Chicago Press
P700000043,Everyman Paperback Classics
P700000044,Modern Library
P700000045,Westminster/John Knox Press (Philadelphia)
P700000046,University of Chicago Press (Chicago/London)
P700000047,Waveland Press
P700000048,Kessinger Publishing
P700000049,Fleming H. Revell
P700000050,Nick Hern Books
P700000051,Johns Hopkins University Press
P700000052,Penguin
P700000053,"Washington Square Press, Inc."
P700000054,Simon & Schuster Paperbacks
P700000055,Dante University of America Press
P700000056,Cle Intl
P700000057,Larousse
P700000058,Cátedra
P700000059,Pocket
P700000060,Mariner Books
P700000061,Dovehouse Editions Inc.
P700000062,"Hackett Publishing Company, Inc."
P700000063,Slatkine
P700000064,Princeton University Press
P700000065,Penguin Books
P700000066,Hackett Publishing Company
P700000067,Routledge
P700000068,Yale University Press
P700000069,Gallimard
P700000070,Book Jungle
P700000071,HarperCollins Publishers
P700000072,Veen
P700000073,Griffioen
P700000074,Methuen Drama
P700000075,Larousse Kingfisher Chambers
P700000076,BiblioLife
P700000077,R.S. Means Company
P700000078,Bloomsbury Methuen Drama
P700000079,Wipf & Stock Publishers
P700000080,Clarendon Press
P700000081,General Books
P700000082,Manchester University Press
P700000083,McGraw-Hill Education
P700000084,Coachwhip Publications
P700000085,Oberon Books
P700000086,Dover Publications (NYC)
P700000087,A & C Black Publishers Ltd.
P700000088,W. W. Norton & Company
P700000089,Ediciones Catedra S.A.
P700000090,Editions Larousse
P700000091,Paraclete Press (MA)
P700000092,Espasa
P700000093,BookSurge Classics
P700000094,Simon & Schuster
P700000095,Dedalus
P700000096,Hard Press
P700000097,Longseller
P700000098,Whitaker Distribution
P700000099,Adamant Media Corporation
P700000100,Penguin Group Ltd.
P700000101,NYRB Classics
P700000102,"Hackett Publishing Company (Indianapolis, IN)"
P700000103,University of California Press
P700000104,Bloomsbury Academic
P700000105,Pomona Press
P700000106,Digireads.com
P700000107,Applewood Books
P700000108,Reclam
P700000109,Anaconda
P700000110,Flammarion
P700000111,University of North Carolina Press
P700000112,Anchor
P700000113,Christian Life Books
P700000114,Ivan R. Dee Publisher
P700000115,Huntington Library Press
P700000116,Open Court
P700000117,Peter Pauper Press
P700000118,Kodansha
