ISBN,Title,AuthorName,AboutAuthor,BookCount,Genres,Description,Lang,BookRating,BookPrice,CoverImage,BookFormat,NumberOfPages,PublishedYear,Publisher,VoteCount
486266893,Candide,Voltaire,"Complete works (1880) : In 1694, Age of Enlightenment leader Francois-Marie Arouet, known as Voltaire, was born in Paris. Jesuit-educated, he began writing clever verses by the age of 12. He launched a lifelong, successful playwriting career in 1718, interrupted by imprisonment in the Bastille. Upon a second imprisonment, in which Francois adopted the pen name Voltaire, he was released after agreeing to move to London. There he wrote  (1733), which galvanized French reform. The book also satirized the religious teachings of Rene Descartes and Blaise Pascal, including Pascal's famed ""wager"" on God. Voltaire wrote: ""The interest I have in believing a thing is not a proof of the existence of that thing."" Voltaire's French publisher was sent to the Bastille and Voltaire had to escape from Paris again, as judges sentenced the book to be ""torn and burned in the Palace."" Voltaire spent a calm 16 years with his deistic mistress, Madame du Chatelet, in Lorraine. He met the 27 year old married mother when he was 39. In his memoirs, he wrote: ""I found, in 1733, a young woman who thought as I did, and decided to spend several years in the country, cultivating her mind."" He dedicated  to her. In it the Deist candidly rejected immortality and questioned belief in God. It was not published until the 1780s. Voltaire continued writing amusing but meaty philosophical plays and histories. After the earthquake that leveled Lisbon in 1755, in which 15,000 people perished and another 15,000 were wounded, Voltaire wrote  (): ""But how conceive a God supremely good/ Who heaps his favours on the sons he loves,/ Yet scatters evil with as large a hand?""Voltaire purchased a chateau in Geneva, where, among other works, he wrote  (1759). To avoid Calvinist persecution, Voltaire moved across the border to Ferney, where the wealthy writer lived for 18 years until his death. Voltaire began to openly challenge Christianity, calling it ""the infamous thing."" He wrote Frederick the Great: ""Christianity is the most ridiculous, the most absurd, and bloody religion that has ever infected the world."" Voltaire ended every letter to friends with ""Ecrasez l'infame"" (crush the infamy — the Christian religion). His pamphlet,  (1762) went after transubstantiation, miracles, biblical contradictions, the Jewish religion, and the Christian God. Voltaire wrote that a true god ""surely cannot have been born of a girl, nor died on the gibbet, nor be eaten in a piece of dough,"" or inspired ""books, filled with contradictions, madness, and horror."" He also published excerpts of , by an atheist priest, in Holland, which advanced the Enlightenment. Voltaire's  was published in 1764 without his name. Although the first edition immediately sold out, Geneva officials, followed by Dutch and Parisian, had the books burned. It was published in 1769 as two large volumes. Voltaire campaigned fiercely against civil atrocities in the name of religion, writing pamphlets and commentaries about the barbaric execution of a Huguenot trader, who was first broken at the wheel, then burned at the stake, in 1762. Voltaire's campaign for justice and restitution ended with a posthumous retrial in 1765, during which 40 Parisian judges declared the defendant innocent. Voltaire urgently tried to save the life of Chevalier de la Barre, a 19 year old sentenced to death for blasphemy for failing to remove his hat during a religious procession. In 1766, Chevalier was beheaded after being tortured, then his body was burned, along with a copy of Voltaire's . Voltaire's statue at the Pantheon was melted down during Nazi occupation. D. 1778.Voltaire (1694-1778), pseudónimo de François-",212,"Classics, Fiction, Philosophy, Cultural, Literature","Brought up in the household of a powerful Baron, Candide is an open-minded young man, whose tutor, Pangloss, has instilled in him the belief that 'all is for the best'. But when his love for the Baron's rosy-cheeked daughter is discovered, Candide is cast out to make his own way in the world. 

And so he and his various companions begin a breathless tour of Europe, South America and Asia, as an outrageous series of disasters befall them - earthquakes, syphilis, a brush with the Inquisition, murder - sorely testing the young hero's optimism.",English,3.76,195.24,https://images.gr-assets.com/books/1345060082l/19380.jpg,Paperback,129,1/1/1991,Dover Publications,0
192838679,Les Liaisons dangereuses,Pierre Choderlos de Laclos,"Pierre Ambroise François Choderlos de Laclos was a French novelist, official and army general, best known for writing the epistolary novel Les Liaisons dangereuses.A unique case in French literature, he was for a long time considered to be as scandalous a writer as the Marquis de Sade or Nicolas-Edme Rétif. He was a military officer with no illusions about human relations, and an amateur writer; however, his initial plan was to ""write a work which departed from the ordinary, which made a noise, and which would remain on earth after his death""; from this point of view he mostly attained his goals, with the fame of his masterwork Les Liaisons dangereuses . It is one of the masterpieces of novelistic literature of the 18th century, which explores the amorous intrigues of the aristocracy. It has inspired a large number of critical and analytic commentaries, plays, and films.Cyrillic profile: ",242,"Classics, Fiction, Cultural, European Literature","The complex moral ambiguities of seduction and revenge make 

 (1782) one of the most scandalous and controversial novels in European literature. The subject of major film and stage adaptations, the novel's prime movers, the Vicomte de Valmont and the Marquise de Merteuil, form an unholy alliance and turn seduction into a game - a game which they must win. This new translation gives Laclos a modern voice, and readers will be able a judge whether the novel is as ""diabolical"" and ""infamous"" as its critics have claimed, or whether it has much to tell us about the kind of world we ourselves live in. David Coward's introduction explodes myths about Laclos's own life and puts the book in its literary and cultural context.",English,4.07,176.37,https://images.gr-assets.com/books/1298425654l/49540.jpg,Paperback,448,3/1/1999,Oxford University Press,0
812969901,The Sorrows of Young Werther,Johann Wolfgang von Goethe,"Johann Wolfgang von Goethe was a German writer. George Eliot called him ""Germany's greatest man of letters... and the last true polymath to walk the earth."" Goethe's works span the fields of poetry, drama, literature, theology, humanism, and science. Goethe's magnum opus, lauded as one of the peaks of world literature, is the two-part drama . Goethe's other well-known literary works include his numerous poems, the  and the epistolary novel .Goethe was one of the key figures of German literature and the movement of Weimar Classicism in the late 18th and early 19th centuries; this movement coincides with Enlightenment, Sentimentality (Empfindsamkeit), Sturm und Drang, and Romanticism. The author of the scientific text Theory of Colours, he influenced Darwin with his focus on plant morphology. He also long served as the Privy Councilor (""Geheimrat"") of the duchy of Weimar.Goethe is the originator of the concept of Weltliteratur (""world literature""), having taken great interest in the literatures of England, France, Italy, classical Greece, Persia, Arabic literature, amongst others. His influence on German philosophy is virtually immeasurable, having major impact especially on the generation of Hegel and Schelling, although Goethe himself expressly and decidedly refrained from practicing philosophy in the rarefied sense.Goethe's influence spread across Europe, and for the next century his works were a major source of inspiration in music, drama, poetry and philosophy. Goethe is considered by many to be the most important writer in the German language and one of the most important thinkers in Western culture as well. Early in his career, however, he wondered whether painting might not be his true vocation; late in his life, he expressed the expectation that he would ultimately be remembered above all for his work in optics.",260,"Literature, Novels","This is Goethe's first novel, published in 1774. Written in diary form, it tells the tale of an unhappy, passionate young man hopelessly in love with Charlotte, the wife of a friend - a man who he alternately admires and detests. Goethe upset the conventional literature of his day by having his hero propose suicide as a method by which anyone might end an intolerable misery. 'The Sorrows of Young Werther' became an important part of the 'Sturm und Drang movement, and greatly influenced later 'Romanticism'. The work is semi-autobiographical - in 1772, two years before the novel was published, Goethe had passed through a similar tempestuous period, when he lost his heart to Charlotte Buff, who was at that time engaged to his friend Johann Christian Kestner.",English,3.64,207.61,https://images.gr-assets.com/books/1386920896l/16640.jpg,Paperback,149,2/1/2005,Modern Library,0
1420925806,Songs of Innocence and of Experience,William Blake,"William Blake was an English poet, painter, and printmaker. Largely unrecognised during his lifetime, Blake's work is today considered seminal and significant in the history of both poetry and the visual arts.Blake's prophetic poetry has been said to form ""what is in proportion to its merits the least read body of poetry in the language"". His visual artistry has led one modern critic to proclaim him ""far and away the greatest artist Britain has ever produced."" Although he only once travelled any further than a day's walk outside London over the course of his life, his creative vision engendered a diverse and symbolically rich corpus, which embraced 'imagination' as ""the body of God"", or ""Human existence itself"".Once considered mad for his idiosyncratic views, Blake is highly regarded today for his expressiveness and creativity, and the philosophical and mystical currents that underlie his work. His work has been characterized as part of the Romantic movement, or even ""Pre-Romantic"", for its largely having appeared in the 18th century. Reverent of the Bible but hostile to the established Church, Blake was influenced by the ideals and ambitions of the French and American revolutions, as well as by such thinkers as Emanuel Swedenborg.Despite these known influences, the originality and singularity of Blake's work make it difficult to classify. One 19th century scholar characterised Blake as a ""glorious luminary"", ""a man not forestalled by predecessors, nor to be classed with contemporaries, nor to be replaced by known or readily surmisable successors.""",224,"Poetry, Classics, Fiction, Literature","is an illustrated collection of poems by William Blake. It appeared in two phases. A few first copies were printed and illuminated by William Blake himself in 1789; five years later he bound these poems with a set of new poems in a volume titled 

.",English,4.11,143.83,https://images.gr-assets.com/books/1348408738l/171547.jpg,Paperback,56,1/1/2005,Digireads.com,0
192838741,Jacques the Fatalist,Denis Diderot,"Denis Diderot was a French philosopher, art critic, and writer. He was a prominent persona during the Enlightenment and is best known for serving as co-founder and chief editor of and contributor to the Encyclopédie.Diderot also contributed to literature, notably with Jacques le fataliste et son maître (Jacques the Fatalist and his Master), which emulated Laurence Sterne in challenging conventions regarding novels and their structure and content, while also examining philosophical ideas about free will. Diderot is also known as the author of the dialogue, Le Neveu de Rameau (Rameau's Nephew), upon which many articles and sermons about consumer desire have been based. His articles included many topics of the Enlightenment.As a philosopher Diderot speculated on free will and held a completely materialistic view of the universe; he suggested all human behavior is determined by heredity. He therefore warned his fellow philosophers against an overemphasis on mathematics and against the blind optimism that sees in the growth of physical knowledge an automatic social and human progress. He rejected the Idea of Progress. In his opinion, the aim of progressing through technology was doomed to fail. He founded his philosophy on experiment and the study of probabilities. He wrote several articles and supplements concerning gambling, mortality rates, and inoculation against smallpox for the Encyclopédie. There he discreetly but firmly refuted d'Alembert's technical errors and personal positions on probability.",241,"Fiction, Philosophy, Cultural, European Literature, Literature","Jacques the Fatalist is a provocative exploration of the problems of human existence, destiny, and free will. In the introduction to this brilliant translation, David Coward explains the philosophical basis of Diderot's fascination with fate and examines the experimental and influential literary techniques that make Jacques the Fatalist a classic of the Enlightenment.",English,3.85,201.1,https://images.gr-assets.com/books/1386925793l/18212.jpg,Paperback,304,9/1/1999,Oxford University Press,0
140436227,"The History of Tom Jones, a Foundling",Henry Fielding,"Henry Fielding was born in Somerset in 1707. The son of an army lieutenant and a judge's daughter, he was educated at Eton School and the University of Leiden before returning to England where he wrote a series of farces, operas and light comedies.Fielding formed his own company and was running the Little Theatre, Haymarket, when one of his satirical plays began to upset the government. The passing of the Theatrical Licensing Act in 1737 effectively ended Fielding's career as a playwright.In 1739 Fielding turned to journalism and became editor of The Champion. He also began writing novels, including: The Adventures of Joseph Andrews (1742), Abraham Adams (1742) and Jonathan Wild (1743).Fielding was made a justice of the peace for Westminster and Middlesex in 1748. He campaigned against legal corruption and helped his half-brother, Sir John Fielding, establish the Bow Street Runners.In 1749 Fielding's novel, The History of Tom Jones was published to public acclaim. Critics agree that it is one of the greatest comic novels in the English language. Fielding followed this success with another well received novel, Amelia (1751).Fielding continued as a journalist and his satirical journal, Covent Garden, continued to upset those in power. Throughout his life, Fielding suffered from poor health and by 1752 he could not move without the help of crutches. In an attempt to overcome his health problems, Henry Fielding went to live in Portugal but this was not successful and he died in Lisbon in 1754. ",206,"Classics, Fiction, Literature","A foundling of mysterious parentage brought up by Mr. Allworthy on his country estate, Tom Jones is deeply in love with the seemingly unattainable Sophia Western, the beautiful daughter of the neighboring squire—though he sometimes succumbs to the charms of the local girls. When Tom is banished to make his own fortune and Sophia follows him to London to escape an arranged marriage, the adventure begins. A vivid Hogarthian panorama of eighteenth-century life, spiced with danger and intrigue, bawdy exuberance and good-natured authorial interjections, Tom Jones is one of the greatest and most ambitious comic novels in English literature.

   • Includes a chronology, suggestions for further reading, notes, glossary, and an appendix of Fielding's revisions

   • Introduction discusses narrative tecniques and themes, the context of eighteenth-century fiction and satire, and the historical and political background of the Jacobite revolution

For more than seventy years, Penguin has been the leading publisher of classic literature in the English-speaking world. With more than 1,700 titles, Penguin Classics represents a global bookshelf of the best works throughout history and across genres and disciplines. Readers trust the series to provide authoritative texts enhanced by introductions and notes by distinguished scholars and contemporary authors, as well as up-to-date translations by award-winning translators.",English,3.73,256.42,https://images.gr-assets.com/books/1444450775l/99329.jpg,Paperback,975,9/1/2005,Penguin Books,0
486223051,The Rime of the Ancient Mariner,Samuel Taylor Coleridge,"Samuel Taylor Coleridge was an English poet, critic, and philosopher who was, along with his friend William Wordsworth, one of the founders of the Romantic Movement in England and one of the Lake Poets. He is probably best known for his poems  and , as well as his major prose work .",223,"Classics, Poetry, Literature, Academic, Gothic"," (originally ""The Rime of the Ancyent Marinere"") is the longest major poem by the English poet Samuel Taylor Coleridge, written in 1797–98 and published in 1798 in the first edition of 

. Modern editions use a later revised version printed in 1817 and featuring a gloss. Along with other poems in 

, it was a signal shift to modern poetry and the beginning of British Romantic literature.

It relates the events experienced by a mariner who has returned from a long sea voyage. The Mariner stops a man on his way to a wedding ceremony and begins to narrate a story. The Wedding-Guest's reaction turns from bemusement to impatience, fear, and fascination as the Mariner's story progresses, as can be seen in the language style: for example, the use of narrative techniques such as personification and repetition to create a sense of danger, or the supernatural, or serenity, depending on the mood each different part of the poem.",English,3.93,213.46,https://images.gr-assets.com/books/1436976206l/732562.jpg,Paperback,77,6/1/1970,Dover Publications,0
521657296,Critique of Pure Reason,Immanuel Kant,"Immanuel Kant was an 18th-century philosopher from Königsberg, Prussia (now Kaliningrad, Russia). He's regarded as one of the most influential thinkers of modern Europe & of the late Enlightenment. His most important work is , an investigation of reason itself. It encompasses an attack on traditional metaphysics & epistemology, & highlights his own contribution to these areas. Other main works of his maturity are , which is about ethics, & , about esthetics & teleology.Pursuing metaphysics involves asking questions about the ultimate nature of reality. Kant suggested that metaphysics can be reformed thru epistemology. He suggested that by understanding the sources & limits of human knowledge we can ask fruitful metaphysical questions. He asked if an object can be known to have certain properties prior to the experience of that object. He concluded that all objects that the mind can think about must conform to its manner of thought. Therefore if the mind can think only in terms of causality–which he concluded that it does–then we can know prior to experiencing them that all objects we experience must either be a cause or an effect. However, it follows from this that it's possible that there are objects of such a nature that the mind cannot think of them, & so the principle of causality, for instance, cannot be applied outside experience: hence we cannot know, for example, whether the world always existed or if it had a cause. So the grand questions of speculative metaphysics are off limits, but the sciences are firmly grounded in laws of the mind. Kant believed himself to be creating a compromise between the empiricists & the rationalists. The empiricists believed that knowledge is acquired thru experience alone, but the rationalists maintained that such knowledge is open to Cartesian doubt and that reason alone provides us with knowledge. Kant argues, however, that using reason without applying it to experience will only lead to illusions, while experience will be purely subjective without first being subsumed under pure reason. Kant’s thought was very influential in Germany during his lifetime, moving philosophy beyond the debate between the rationalists & empiricists. The philosophers Fichte, Schelling, Hegel and Schopenhauer saw themselves as correcting and expanding Kant's system, thus bringing about various forms of German Idealism. Kant continues to be a major influence on philosophy to this day, influencing both Analytic and Continental philosophy.",215,"Philosophy, Nonfiction, Classics, European Literature","Kritik der reinen Vernunft (Riga: J. F. Hartknoch, 1781), 856 pp. 2nd (B) ed: 1787. [A-edition (Ak. 4:5-252); B-edition (Ak. 3:2-552)]. “Critique of Pure Reason.” Translated by Norman Kemp Smith (Macmillan 1929). Translated by Werner Pluhar (Indianapolis: Hackett 1996). Translated by Paul Guyer and Allen W. Wood in Immanuel Kant, Critique of Pure Reason, edited by Paul Guyer and Allen W. Wood (Cambridge University Press, 1997).

“In the current Easter book fair there will appear a book of mine, entitled Critique of Pure Reason [...] This book contains the result of all the varied investigations that start from the concepts we debated together under the heading mundi sensibilis and mundi intelligibilis.” — thus begins Kant’s letter to Marcus Herz from 1 May 1781 (Ak. 10:266).

Kant’s own copy of this book was housed at the Staats- und Universitätsbibliothek Königsberg, before being lost in 1945. Fortunately Kant’s marginalia had already been printed at Ak. 23:17-50, as well as in Erdmann [1881]; they are also included in the Guyer/Wood translation.",English,3.92,147.73,https://images.gr-assets.com/books/1348663530l/18288.jpg,Paperback,796,2/1/1999,Cambridge University Press,0
141439491,Gulliver's Travels,Jonathan Swift,"Jonathan Swift was an Anglo-Irish satirist, essayist, political pamphleteer (first for Whigs then for Tories), and poet, famous for works like , , , , , and . Swift is probably the foremost prose satirist in the English language, and is less well known for his poetry. Swift published all of his works under pseudonyms — such as Lemuel Gulliver, Isaac Bickerstaff, M.B. Drapier — or anonymously. He is also known for being a master of two styles of satire; the Horatian and Juvenalian styles.",248,"Fantasy, Adventure, Literature","Shipwrecked and cast adrift, Lemuel Gulliver wakes to find himself on Lilliput, an island inhabited by little people, whose height makes their quarrels over fashion and fame seem ridiculous. His subsequent encounters - with the crude giants of Brobdingnag, the philosophical Houyhnhnms and the brutish Yahoos - give Gulliver new, bitter insights into human behaviour. Swift's savage satire view mankind in a distorted hall of mirrors as a diminished, magnified and finally bestial species, presenting us with an uncompromising reflection of ourselves.

This text, based on the first edition of 1726, reproduces all its original illustrations and includes an introduction by Robert Demaria, Jr, which discusses the ways 

 has been interpreted since its first publication.",English,3.56,198.49,https://images.gr-assets.com/books/1427829692l/7733.jpg,Paperback,306,1/1/2003,Penguin Classics,0
140442812,Persian Letters,Montesquieu,"Montesquieu, generally referred to as simply , was a French social commentator and political thinker who lived during the Enlightenment. He is famous for his articulation of the theory of separation of powers, which is taken for granted in modern discussions of government and implemented in many constitutions throughout the world. He was largely responsible for the popularization of the terms ""feudalism"" and ""Byzantine Empire.""",216,"Philosophy, Cultural, European Literature, Literature, Fiction, Classics","This richly evocative novel-in-letters tells the story of two Persian noblemen who have left their country - the modern Iran - to journey to Europe in search of wisdom. As they travel, they write home to wives and eunuchs in the harem and to friends in France and elsewhere. Their colourful observations on the culture differences between West and East culture conjure up Eastern sensuality, repression and cruelty in contrast to the freer, more civilized West - but here also unworthy nobles and bishops, frivolous women of fashion and conceited people of all kinds are satirized. Storytellers as well as letter-writers, Montesquieu's Usbek and Rica are disrespectful and witty, but also serious moralists. Persian Letters was a succès de scandale in Paris society, and encapsulates the libertarian, critical spirit of the early eighteenth century.",English,3.73,212.16,https://images.gr-assets.com/books/1347790372l/509686.jpg,Paperback,352,1/1/1973,Penguin Books,0
